
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.751 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.752	8.567	
Aelurodon_asthenostylus	19.573	13.715	
Aelurodon_ferox	18.666	6.773	
Aelurodon_mcgrewi	15.94	6.571	
Aelurodon_montanensis	14.675	14.675	
Aelurodon_stirtoni	15.931	10.521	
Aelurodon_taxoides	22.836	5.669	
Aelurodon_wheelerianus	16.386	16.386	
Alopex	3.543	3.543	
Alopex_lagopus	1.578	0.008	
Archaeocyon_falkenbachi	24.156	24.156	
Archaeocyon_leptodus	32.777	20.494	
Archaeocyon_pavidus	33.026	28.323	
Borophaginae	23.672	5.028	
Borophagus	17.894	1.966	
Borophagus_diversidens	4.88	1.959	
Borophagus_dudleyi	4.399	4.399	
Borophagus_hilli	19.528	2.137	
Borophagus_littoralis	22.778	10.915	
Borophagus_orc	5.63	4.807	
Borophagus_parvus	8.227	7.374	
Borophagus_pugnator	22.085	6.199	
Borophagus_secundus	21.588	4.95	
Caedocyon_tedfordi	20.67	20.67	
Canidae	36.894	0.012	
Caninae	25.997	0.043	
Canini	7.929	1.982	
Canis	18.971	0.001	
Canis_(Pseudalopex)	0.716	0.05	
Canis_adustus	3.46	0.002	extant
Canis_anthus	1.138	0.417	extant
Canis_apolloniensis	1.103	1.103	
Canis_armbrusteri	4.739	0.071	
Canis_aureus	2.914	0.002	extant
Canis_cedazoensis	0.968	0.968	
Canis_dirus	2.445	0.013	
Canis_edwardii	22.55	0.444	
Canis_familiaris	0.841	0.002	extant
Canis_ferox	10.05	1.838	
Canis_latrans	4.537	0.007	extant
Canis_lepophagus	5.218	0.122	
Canis_lupus	3.212	0.002	extant
Canis_mesomelas	4.939	0.001	extant
Canis_proplatensis	1.201	1.201	
Canis_rufus	4.732	0.097	extant
Canis_thooides	2.772	2.772	
Carpocyon	16.839	13.735	
Carpocyon_compressus	15.713	10.557	
Carpocyon_limosus	7.634	5.872	
Carpocyon_robustus	14.744	7.783	
Carpocyon_webbi	15.247	5.35	
Cerdocyon_avius	4.883	2.867	
Cerdocyon_texanus	8.607	3.888	
Cerdocyon_thous	0.039	0.006	
Chailicyon_crassidens	41.207	41.207	
Chrysocyon	2.254	2.254	
Chrysocyon_brachyurus	1.789	0.984	
Chrysocyon_nearcticus	3.002	2.299	
Cormocyon	26.347	26.347	
Cormocyon_copei	28.638	8.577	
Cormocyon_haydeni	25.653	21.772	
Cubacyon_transversidens	2.522	2.522	
Cuon	0.642	0.047	
Cuon_alpinus	1.534	0.073	
Cynarctoides_acridens	25.042	13.976	
Cynarctoides_emryi	18.228	17.066	
Cynarctoides_gawnae	19.791	15.707	
Cynarctoides_harlowi	24.499	24.499	
Cynarctoides_lemur	30.727	22.64	
Cynarctoides_luskensis	27.359	21.223	
Cynarctoides_roii	30.464	23.224	
Cynarctoides_whistleri	17.142	16.345	
Cynarctus	14.457	7.518	
Cynarctus_crucidens	18.098	6.924	
Cynarctus_galushai	15.57	13.675	
Cynarctus_marylandica	19.981	15.525	
Cynarctus_saxatilis	15.858	13.822	
Cynarctus_voorhiesi	12.845	10.701	
Cynarctus_wangi	14.83	14.83	
Cynodesmus_martini	26.927	26.927	
